,Actors 1,Actors 2,Actors 3,Actors 4,Actors 5,Actors 6,Actors 7,Budget,Dialogue,Director,Directors,First Day,First Week,First Weekend,Genre,India Gross,Lyrics,Music,Overseas Gross,Producer,Production Banner,Release Date,Runtime,Screenplay,Screens,Story,Title,Worldwide Gross
1,Rishi Kapoor,Sanjay Dutt,Hrithik Roshan,Priyanka Chopra,Om Puri,Zarina Wahab,Sachin Khedekar,"71,00,00,000","Karan Malhotra,Ila Bedi Dutta",Karan Malhotra,,"21,72,00,000","81,37,00,000","45,74,00,000",Action,"1,63,98,00,000",Amitabh Bhattacharya,Ajay - Atul,"$6,100,000","Karan Johar,Hiroo Johar",Dharma Productions Pvt. Ltd.,26-Jan-12,168 min,,2600,Piyush Mishra,Agneepath,"1,94,32,75,000"
2,Pulkit Samrat,Amita Pathak,Rajesh Bakshi,,,,,"10,00,00,000","Supavitra Babul,Gautam Mehra",Supavitra Babul,,"38,00,000","1,95,50,000","1,28,00,000",Love Story,"2,72,00,000","Aseem Ahmed Abbasi,Luv Ranjan,Kumaar",Raghav Sachar,$---,"Abhishek Pathak,Kumar Mangat",Viacom 18 Motion Pictures,13-Apr-12,130 min,Supavitra Babul,675,Gautam Mehra,Bittoo Boss,"2,72,00,000"
3,Akshay Kumar,John Abraham,Rishi Kapoor,Randhir Kapoor,Mithun Chakraborty,Asin,Riteish Deshmukh,"72,00,00,000","Sajid Khan,Tushar Hiranandani",Sajid Khan,,"12,19,00,000","61,75,00,000","40,24,00,000",Comedy,"1,53,76,00,000",Sameer,Sajid - Wajid,"$6,760,000",Sajid Nadiadwala,Eros International,06-Apr-12,156 min,Sajid Nadiadwala,2650,Farhad - Sajid,Housefull 2,"1,88,40,50,000"
4,Ajay Devgn,Kajal Aggarwal,Prakash Raj,Sonali Kulkarni,Sudhanshu Pandey,Sachin Khedekar,Ashok Saraf,"41,00,00,000",Yunus Sajawal,Rohit Shetty,,"8,76,00,000","49,29,00,000","29,73,00,000",Action,"1,35,83,00,000",Swanand Kirkire,Ajay - Atul,"$1,230,000",,Reliance Entertainment,22-Jul-11,144 min,Hari,2050,Farhad - Sajid,Singham,"1,41,30,35,000"
5,Mithun Chakraborty,Ajay Devgn,Kareena Kapoor,Arshad Warsi,Tusshar Kapoor,Shreyas Talpade,Kunal Khemu,"50,00,00,000",Yunus Sajawal,Rohit Shetty,,"8,36,00,000","62,61,00,000","34,85,00,000",Comedy,"1,49,12,00,000",Kumaar,Pritam,"$4,620,000",Dillion Mehta,Shree Ashtavinayak Cinevision Ltd.,05-Nov-10,141 min,Yunus Sajawal,1750,Farhad - Sajid,Golmaal 3,"1,69,56,35,000"
6,Vidya Balan,Nawazuddin Siddiqui,Parambrata Chatterjee,Darshan Jariwala,Dhritiman Chatterjee,Indraneil Sengupta,Masood Akhtar,"20,00,00,000","Suresh Nair,Sujoy Ghosh,Nikhal Vyas",Sujoy Ghosh,,"2,91,00,000","23,79,00,000","13,36,00,000",Thriller,"78,96,00,000","Sandeep Srivastava,Anvita Dutt,Vishal Daldani,Clinton Cerejo",Vishal - Shekhar,"$2,550,000","Sujoy Ghosh,Kushal Gada",Boundscript Motion Pictures Pvt. Ltd.,09-Mar-12,122 min,"Advaita Kala,Sujoy Ghosh",1100,Ritesh Shah,Kahaani,"91,71,00,000"
7,Kareena Kapoor,Imran Khan,Boman Irani,Ratna Pathak,Ram Kapoor,,,"32,00,00,000","Shakun Batra,Ayesha DeVitre",Shakun Batra,,"5,27,00,000","30,68,00,000","20,26,00,000",Love Story,"54,38,00,000",Amitabh Bhattacharya,Amit Trivedi,"$3,600,000","Karan Johar,Hiroo Johar",Dharma Productions Pvt. Ltd.,10-Feb-12,110 min,"Shakun Batra,Ayesha DeVitre",1250,"Ayesha DeVitre,Shakun Batra",Ek Main Aur Ekk Tu,"72,11,00,000"
8,Vinod Khanna,Bobby Deol,Abhishek Bachchan,Bipasha Basu,Sonam Kapoor,Neil Nitin Mukesh,Sikander Kher,"55,00,00,000","Rohit Jugraj,Sudip Sharma",Abbas - Mustan,,"4,63,00,000","21,52,00,000","14,58,00,000",Action,"40,58,00,000",Ashish Pandit,Pritam,"$1,520,000",,Burmawala Bros,06-Jan-12,166 min,"Nikhat Bhatty,Bhaskar Hazarika,Sourabh Ratnu",1900,Sudip Sharma,Players,"48,56,00,000"
9,Ayushman Khurana,Yami Gautam,Annu Kapoor,Dolly Ahluwalia,Kamlesh Gill,,,"10,00,00,000",Juhi Chaturvedi,Shoojit Sircar,,"1,97,00,000","14,17,00,000","8,23,00,000",Comedy,"55,02,00,000","Ayushman Khurana,Juhi Chaturvedi,Rochak Kohli,Kusam Verma,Swanand Kirkire,Akshay Verma","Rochak Kohli,Abhishek - Akshay,Ayushman Khurana","$1,200,000","John Abraham,Sunil Lulla,Ronnie Lahiri",Eros International,20-Apr-12,122 min,Juhi Chaturvedi,575,Juhi Chaturvedi,Vicky Donor,"61,32,00,000"
10,Paoli Dam,Gulshan Devaiya,Nikhil Dwivedi,Gopal Singh,"
",,,"9,00,00,000",Vikram Bhatt,Vivek Agnihotri,,"2,07,00,000","9,60,00,000","6,05,00,000",Thriller,"16,43,00,000","Shabbir Ahmed,Kumaar",Harshit Saxena,$---,,BVG Films,20-Apr-12,119 min,Vikram Bhatt,1100,Rohit Malhotra,Hate Story,"16,43,00,000"
11,Madhuri Dixit,Salman Khan,Mohnish Bahl,Renuka Shahane,Anupam Kher,Reema Lagoo,Alok Nath,"6,25,00,000",Sooraj Barjatya,Sooraj Barjatya,,"9,50,000","68,00,000","29,00,000",Drama,"1,16,93,00,000","Dev Kohli,Ravindra Rawal",Raam - Laxman,"$3,500,000","Rajkumar Barjatya,Kamal Kumar Barjatya,Ajit Kumar Barjatya",Rajshri Productions Pvt. Ltd.,05-Aug-94,206 min,Keshav Prasad Mishra,35,Sooraj Barjatya,Hum Aapke Hain Koun..!,"1,27,95,50,000"
12,Riteish Deshmukh,Genelia D'Souza,Om Puri,Tinnu Anand,Smita Jaykar,,,"14,00,00,000",Dhieya Sandhu,Mandeep Kumar,,"1,74,00,000","11,78,00,000","7,17,00,000",Rom - Com,"26,44,00,000","Mayur Puri,Priya Panchal",Sachin - Jigar,"$850,000","Renu Taurani,Kumar S. Taurani",Tips Industries Pvt. Ltd.,24-Feb-12,132 min,Dhieya Sandhu,1200,Dhieya Sandhu,Tere Naal Love Ho Gaya,"30,62,62,500"
13,R. Madhavan,Bipasha Basu,Omi Vadiya,Dipannita Sharma,Mrinalini Sharma,Milind Soman,Helen,"21,00,00,000",Ashwini Chaudhary,Ashwini Chaudhary,,"1,51,00,000","8,16,00,000","5,79,00,000",Comedy,"13,12,00,000","Shabbir Ahmed,Irshad Kamil",Salim - Sulaiman,"$310,000",Rajesh Rajilal,Prasar Visions Pvt. Ltd.,24-Feb-12,134 min,Ashwini Chaudhary,1000,Sanyukta Chawla,Jodi Breakers,"14,64,67,500"
